_id,operator_registration_number,postal_code,ward_number,ward_name
1809053,STR-2301-HWKRVY,M9V,1.0,Etobicoke North
1809054,STR-2301-GYHDVV,M3N,7.0,Humber River-Black Creek
1809055,STR-2301-HXBDVY,M4M,14.0,Toronto-Danforth
1809056,STR-2301-HXRRVY,M2J,17.0,Don Valley North
1809057,STR-2301-GBVDVR,M6B,8.0,Eglinton-Lawrence
1809058,STR-2301-GCLXVS,M3H,6.0,York Centre
1809059,STR-2301-HRSXVY,M2J,17.0,Don Valley North
1809060,STR-2302-FFJKVP,M4K,14.0,Toronto-Danforth
1809061,STR-2302-GLJKVT,M4M,14.0,Toronto-Danforth
1809062,STR-2302-HKCKVX,M9R,2.0,Etobicoke Centre
1809063,STR-2302-FPFXVQ,M4S,15.0,Don Valley West
1809064,STR-2302-FWLXVR,M2N,18.0,Willowdale
1809065,STR-2302-GVFXVV,M4M,14.0,Toronto-Danforth
1809066,STR-2302-HKSXVX,M1W,22.0,Scarborough-Agincourt
1809067,STR-2302-HTQKVY,M5V,10.0,Spadina-Fort York
1809068,STR-2302-FHFXVP,M6G,11.0,University-Rosedale
1809069,STR-2302-FXSXVR,M6K,9.0,Davenport
1809070,STR-2302-GPFXVT,M2N,18.0,Willowdale
1809071,STR-2302-HDSXVW,M1S,22.0,Scarborough-Agincourt
1809072,STR-2302-HLYXVX,M9W,1.0,Etobicoke North
1809073,STR-2302-HVFXVY,M4E,19.0,Beaches-East York
1809074,STR-2302-FRCKVQ,M6K,10.0,Spadina-Fort York
1809075,STR-2302-GPWKVT,M6K,4.0,Parkdale-High Park
1809076,STR-2302-HMQKVX,M3M,6.0,York Centre
1809077,STR-2302-FYYXVR,M5A,13.0,Toronto Centre
1809078,STR-2302-GHFXVS,M5V,10.0,Spadina-Fort York
1809079,STR-2302-GXSXVV,M5A,13.0,Toronto Centre
1809080,STR-2302-HPFXVX,M2N,18.0,Willowdale
1809081,STR-2302-HWLXVY,M4W,11.0,University-Rosedale
1809082,STR-2302-JDSXVZ,M9B,2.0,Etobicoke Centre
1809083,STR-2302-FKCKVP,M5R,11.0,University-Rosedale
1809084,STR-2207-JCFKVM,M4M,14.0,Toronto-Danforth
1809085,STR-2302-GRCKVT,M5V,10.0,Spadina-Fort York
1809086,STR-2302-HGQKVW,M6H,9.0,Davenport
1809087,STR-2302-HXSXVY,M5J,10.0,Spadina-Fort York
1809088,STR-2302-JFYXVZ,M4C,19.0,Beaches-East York
1809089,STR-2302-GSJKVT,M2K,17.0,Don Valley North
1809090,STR-2302-HYJKVY,M2K,17.0,Don Valley North
1809091,STR-2302-FVHDVR,M1E,24.0,Scarborough-Guildwood
1809092,STR-2302-GKVDVT,M2K,17.0,Don Valley North
1809093,STR-2302-HJPDVX,M6P,9.0,Davenport
1809094,STR-2302-FFKRVP,M8Y,3.0,Etobicoke-Lakeshore
1809095,STR-2302-JBHDVZ,M1M,20.0,Scarborough Southwest
1809096,STR-2302-FYKRVR,M1E,24.0,Scarborough-Guildwood
1809097,STR-2302-HFKRVW,M1R,21.0,Scarborough Centre
1809098,STR-2302-GQPDVT,M1C,25.0,Scarborough-Rouge Park
1809099,STR-2302-GSKRVT,M6H,9.0,Davenport
1809100,STR-2302-HHXRVW,M5V,10.0,Spadina-Fort York
1809101,STR-2302-HYKRVY,M4K,14.0,Toronto-Danforth
1809102,STR-2302-FDWKVP,M3H,6.0,York Centre
1809103,STR-2302-GTCKVV,M4X,13.0,Toronto Centre
1809104,STR-2302-HRWKVY,M6H,9.0,Davenport
1809105,STR-2302-HZCKVZ,M5V,10.0,Spadina-Fort York
1809106,STR-2302-GTSXVV,M6S,4.0,Parkdale-High Park
1809107,STR-2302-FPJKVQ,M4N,15.0,Don Valley West
1809108,STR-2302-FPYXVQ,M4E,19.0,Beaches-East York
1809109,STR-2302-GFLXVS,M9M,7.0,Humber River-Black Creek
1809110,STR-2302-HLLXVX,M6N,5.0,York South-Weston
1809111,STR-2302-JCQKVZ,M2M,18.0,Willowdale
1809112,STR-2302-FRFXVQ,M1N,20.0,Scarborough Southwest
